material_id	material	brand_owner_id	brand_owner	brand_id	brand	subbrand_id	subbrand	subgroup_id	subgroup	pack_type_id	pact_type	pack_size_id	pack_size	pack_empty_id	pack_empty	category_id	category	line_id	line	subline_id	subline	product_id	product
B9VDT	BAP 9 Belgian Blanche 24 bt 33clx3	0440	CARLSBERG	1077	BAP	1056	BAP 9	9002	CI-CRAFT	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VDU	GRIMBERGEN TRIPLE MODULAR 20	0440	CARLSBERG	0828	GRIMBERGEN	1087	GRIMBERGEN TRIPLE	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	235	BIRRA FS GRUPPO CI	230	BIRRA GRIMBERGEN FS	0016	BELGHE
B9VDV	BAP 8 Gusto Agrumato 6 bt 75cl	0440	CARLSBERG	1077	BAP	1054	BAP 8	9002	CI-CRAFT	0003	VAP	0053	CL  75	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VDW	BAP 8 Gusto Agrumato Modular 20 fs 20L	0440	CARLSBERG	1077	BAP	1054	BAP 8	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VDX	BAP 8 Gusto Tostato 6 bt 75cl	0440	CARLSBERG	1077	BAP	1054	BAP 8	9002	CI-CRAFT	0003	VAP	0053	CL  75	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VDY	Hibu Entropia Golden Ale MODULAR 20	0663	HIBU BIRRIFICIO	1103	HIBU	1073	HIBU ENTROPIA GOLDEN	9012	ARTIGIANALI CRAFT	0016	MOD 20	0008	LT   20	229	Fs ACEII Birra Artig	200	BIRRA	24C	BIRRA FUSTO ALTRE	240	BIRRA ARTIGIANALI FS	0061	NAZIONALI
B9VDZ	BAP 4 BIO 24 bt 33cl	0440	CARLSBERG	1077	BAP	1044	BAP 4	9003	CI-SPECIALTIES	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VEA	BAP 7 L'Esotica SELECT 10	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0010	SEL 10	0021	LT   10	222	SEL 10	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VEB	BAP 7 L'Esotica MODULAR 20	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VEC	BAP 7 L'Esotica 24bt 33cl	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VEG	BAP 7 L'Affumicata SELECT 10	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0010	SEL 10	0021	LT   10	222	SEL 10	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VEH	BAP 7 L'Affumicata 24 bt 33cl	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VEI	BAP 7 L'Affumicata MODULAR 20	0440	CARLSBERG	1077	BAP	1047	BAP 7	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VEJ	BAP 4 TEST MODULAR 20 fs 20	0440	CARLSBERG	1077	BAP	1044	BAP 4	9001	CI-LAGER	0016	MOD 20	0008	LT   20	225	Fs ACEII Birra Lager	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9VEK	BROOKLYN NARANJITO MODULAR 20 fusto 20L	0440	CARLSBERG	0059	BROOKLYN	1090	BROOKLYN NARANJITO	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	239	BIRRA FS GRUPPO CI	230	BIRRA BROOKLYN FS	0074	USA
B9VEL	BAP 9 Bohemian Pils 24 bt 33clx3	0440	CARLSBERG	1077	BAP	1056	BAP 9	9002	CI-CRAFT	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B9VEM	BAP 9 Bohemian Pils MODULAR 20	0440	CARLSBERG	1077	BAP	1056	BAP 9	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
